example,figure,factor,input_parameters,api_annex_b_value,digitized_value,spreadsheet_value,app_table_value,digitized_difference,spreadsheet_difference,app_table_difference,status,notes
Annex B highway example,Figure 3,KHe,tw/D=0.020; E_prime=0.5 ksi,3024.0,2632.836699,2632.836699,2663.0,-391.163301,-391.163301,-361.0,FAIL,
Annex B highway example,Figure 4,Be,H/Bd=4.9; soil_type=A,1.09,1.071669,1.070535,1.0676,-0.018331,-0.019465,-0.0224,PASS,
Annex B highway example,Figure 5,Ee,Bd/D=1.16,1.11,1.106553,1.107279,1.11042,-0.003447,-0.002721,0.00042,PASS,
Annex B highway example,Figure 7,Fi,H=6 ft; highway,1.47,1.480368,1.478814,1.47622,0.010368,0.008814,0.00622,REVIEW,
Annex B railroad example,Figure 8,KHr,tw/D=0.020; Er=10 ksi,332.0,325.604485,323.200702,324.532625,-6.395515,-8.799298,-7.467375,REVIEW,
Annex B railroad example,Figure 9,GHr,D=12.75 in; H=6 ft,0.98,0.984063,0.986019,0.98525,0.004063,0.006019,0.00525,PASS,
Annex B railroad example,Figure 10,NH,D=12.75 in; H=6 ft; double track,1.11,1.11601,1.141187,1.139877,0.00601,0.031187,0.029877,PASS,
Annex B railroad example,Figure 11,KLr,tw/D=0.020; Er=10 ksi,317.0,314.10277,314.10277,313.0,-2.89723,-2.89723,-4.0,PASS,
Annex B railroad example,Figure 12,GLr,D=12.75 in; H=6 ft,0.98,0.976824,0.977771,0.971625,-0.003176,-0.002229,-0.008375,PASS,
Annex B railroad example,Figure 13,NL,D=12.75 in; H=6 ft; double track,1.0,1.020467,1.020591,1.020729,0.020467,0.020591,0.020729,REVIEW,
Annex B highway example,Figure 14,KHh,tw/D=0.020; Er=10 ksi,14.3,14.089377,14.074136,14.134633,-0.210623,-0.225864,-0.165367,PASS,
Annex B highway example,Figure 15,GHh,D=12.75 in; H=6 ft,0.99,1.014641,1.015213,1.01675,0.024641,0.025213,0.02675,REVIEW,
Annex B highway example,Figure 16,KLh,tw/D=0.020; Er=10 ksi,9.9,9.749911,9.749911,9.767,-0.150089,-0.150089,-0.133,REVIEW,
Annex B highway example,Figure 17,GLh,D=12.75 in; H=6 ft,1.01,0.999894,1.004673,1.0025,-0.010106,-0.005327,-0.0075,PASS,
