figure,factor,curve_name,x_value,y_value,point_type,page_x_pdf_points,page_y_pdf_points,source_page,notes
Figure 3,KHe,E_prime_ksi=0.2,0.007456,11621.499894,endpoint/control;uniform_sample,154.934006,109.268982,PDF page 19 / API page 13,point_type=endpoint/control;uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.007807,11054.05545,endpoint/control,156.909981,119.641866,PDF page 19 / API page 13,point_type=endpoint/control | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.00811,10587.668178,spreadsheet_x,158.61552,128.575634,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.00825,10387.695985,spreadsheet_x,159.404,132.429098,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.009868,8396.403408,uniform_sample,168.516125,168.614645,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.01,8263.509735,spreadsheet_x,169.26,171.077165,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.01228,6401.352566,uniform_sample,181.41896,204.82695,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.0125,6253.259838,spreadsheet_x,182.595,207.569628,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.014691,4964.050299,uniform_sample,194.282434,230.938173,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.015,4817.399319,spreadsheet_x,195.93,233.673591,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.015352,4653.320868,endpoint/control,197.909986,236.713964,PDF page 19 / API page 13,point_type=endpoint/control | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.017103,3916.98934,uniform_sample,207.772519,250.346416,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.0175,3778.69799,spreadsheet_x,210.01,252.863188,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.019514,3138.257923,uniform_sample,221.35465,264.564028,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.02,2993.515046,spreadsheet_x,224.09,267.20848,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.021926,2468.423263,uniform_sample,234.744189,277.067695,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.022768,2249.815017,endpoint/control,239.402023,281.170972,PDF page 19 / API page 13,point_type=endpoint/control | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.024338,1911.927727,uniform_sample,248.085105,287.447943,PDF page 19 / API page 13,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.025,1793.592711,spreadsheet_x,251.75,289.581523,PDF page 19 / API page 13,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
