figure,factor,curve_name,x_value,x_units,y_value,y_units,source_page,digitization_method,notes
Figure 3,KHe,E_prime_ksi=0.2,0.007456,tw/D,11621.499894,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.007807,tw/D,11054.05545,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.00811,tw/D,10587.668178,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.00825,tw/D,10387.695985,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.009868,tw/D,8396.403408,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.01,tw/D,8263.509735,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.01228,tw/D,6401.352566,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.0125,tw/D,6253.259838,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.014691,tw/D,4964.050299,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
Figure 3,KHe,E_prime_ksi=0.2,0.015,tw/D,4817.399319,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x | Shared common tail after curve convergence. | KHe curves converge; the single visible common tail is reused for upper E' curves after their unique strokes end.
