figure,factor,curve_name,x_value,x_units,y_value,y_units,source_page,digitization_method,notes
Figure 4,Be,soil_type=A,0.120039,H/Bd,0.003856,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;uniform_sample
Figure 4,Be,soil_type=A,1.0,H/Bd,0.334142,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 4,Be,soil_type=A,1.120554,H/Bd,0.374502,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 4,Be,soil_type=A,1.937448,H/Bd,0.617351,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control
Figure 4,Be,soil_type=A,2.0,H/Bd,0.639287,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 4,Be,soil_type=A,2.12107,H/Bd,0.674363,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 4,Be,soil_type=A,3.0,H/Bd,0.8495,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 4,Be,soil_type=A,3.121585,H/Bd,0.868205,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 4,Be,soil_type=A,4.0,H/Bd,0.982464,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 4,Be,soil_type=A,4.1221,H/Bd,0.995946,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 4,Be,soil_type=A,4.9,H/Bd,1.071669,dimensionless,PDF page 19 / API page 13,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=annex_control_x
