figure,factor,curve_name,x_value,x_units,y_value,y_units,source_page,digitization_method,notes
Figure 5,Ee,Ee,1.000195,Bd/D,0.830142,dimensionless,PDF page 20 / API page 14,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;uniform_sample
Figure 5,Ee,Ee,1.01015,Bd/D,0.845263,dimensionless,PDF page 20 / API page 14,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 5,Ee,Ee,1.020104,Bd/D,0.860556,dimensionless,PDF page 20 / API page 14,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 5,Ee,Ee,1.030058,Bd/D,0.876022,dimensionless,PDF page 20 / API page 14,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 5,Ee,Ee,1.040013,Bd/D,0.891662,dimensionless,PDF page 20 / API page 14,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 5,Ee,Ee,1.049967,Bd/D,0.907528,dimensionless,PDF page 20 / API page 14,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 5,Ee,Ee,1.05,Bd/D,0.907581,dimensionless,PDF page 20 / API page 14,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 5,Ee,Ee,1.059921,Bd/D,0.924282,dimensionless,PDF page 20 / API page 14,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 5,Ee,Ee,1.069876,Bd/D,0.94123,dimensionless,PDF page 20 / API page 14,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 5,Ee,Ee,1.07983,Bd/D,0.958373,dimensionless,PDF page 20 / API page 14,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 5,Ee,Ee,1.089785,Bd/D,0.975711,dimensionless,PDF page 20 / API page 14,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 5,Ee,Ee,1.099739,Bd/D,0.993256,dimensionless,PDF page 20 / API page 14,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 5,Ee,Ee,1.1,Bd/D,0.993725,dimensionless,PDF page 20 / API page 14,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 5,Ee,Ee,1.109693,Bd/D,1.011372,dimensionless,PDF page 20 / API page 14,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 5,Ee,Ee,1.119648,Bd/D,1.02974,dimensionless,PDF page 20 / API page 14,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
