figure,factor,curve_name,x_value,x_units,y_value,y_units,source_page,digitization_method,notes
Figure 7,Fi,crossing=highway,0.05161,ft,1.502573,dimensionless,PDF page 22 / API page 16,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;uniform_sample | Graph plots Fi on the horizontal axis and depth on the vertical axis; CSV normalizes x as depth H.
Figure 7,Fi,crossing=highway,1.255348,ft,1.502573,dimensionless,PDF page 22 / API page 16,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Graph plots Fi on the horizontal axis and depth on the vertical axis; CSV normalizes x as depth H.
Figure 7,Fi,crossing=highway,2.459086,ft,1.502573,dimensionless,PDF page 22 / API page 16,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Graph plots Fi on the horizontal axis and depth on the vertical axis; CSV normalizes x as depth H.
Figure 7,Fi,crossing=highway,3.662825,ft,1.502573,dimensionless,PDF page 22 / API page 16,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Graph plots Fi on the horizontal axis and depth on the vertical axis; CSV normalizes x as depth H.
Figure 7,Fi,crossing=highway,4.866563,ft,1.502573,dimensionless,PDF page 22 / API page 16,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Graph plots Fi on the horizontal axis and depth on the vertical axis; CSV normalizes x as depth H.
Figure 7,Fi,crossing=highway,5.22,ft,1.502573,dimensionless,PDF page 22 / API page 16,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x | Graph plots Fi on the horizontal axis and depth on the vertical axis; CSV normalizes x as depth H.
Figure 7,Fi,crossing=highway,5.262871,ft,1.502573,dimensionless,PDF page 22 / API page 16,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control | Graph plots Fi on the horizontal axis and depth on the vertical axis; CSV normalizes x as depth H.
Figure 7,Fi,crossing=highway,6.0,ft,1.480368,dimensionless,PDF page 22 / API page 16,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=annex_control_x | Graph plots Fi on the horizontal axis and depth on the vertical axis; CSV normalizes x as depth H.
Figure 7,Fi,crossing=highway,6.070301,ft,1.47825,dimensionless,PDF page 22 / API page 16,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Graph plots Fi on the horizontal axis and depth on the vertical axis; CSV normalizes x as depth H.
Figure 7,Fi,crossing=highway,7.274039,ft,1.44199,dimensionless,PDF page 22 / API page 16,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Graph plots Fi on the horizontal axis and depth on the vertical axis; CSV normalizes x as depth H.
Figure 7,Fi,crossing=highway,8.477777,ft,1.40573,dimensionless,PDF page 22 / API page 16,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Graph plots Fi on the horizontal axis and depth on the vertical axis; CSV normalizes x as depth H.
Figure 7,Fi,crossing=highway,9.681515,ft,1.369424,dimensionless,PDF page 22 / API page 16,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Graph plots Fi on the horizontal axis and depth on the vertical axis; CSV normalizes x as depth H.
Figure 7,Fi,crossing=highway,10.885253,ft,1.332929,dimensionless,PDF page 22 / API page 16,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Graph plots Fi on the horizontal axis and depth on the vertical axis; CSV normalizes x as depth H.
Figure 7,Fi,crossing=highway,12.088992,ft,1.296287,dimensionless,PDF page 22 / API page 16,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Graph plots Fi on the horizontal axis and depth on the vertical axis; CSV normalizes x as depth H.
Figure 7,Fi,crossing=highway,13.29273,ft,1.259645,dimensionless,PDF page 22 / API page 16,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | Graph plots Fi on the horizontal axis and depth on the vertical axis; CSV normalizes x as depth H.
