figure,factor,curve_name,x_value,x_units,y_value,y_units,source_page,digitization_method,notes
Figure 8,KHr,Er_ksi=10,0.010295,tw/D,314.259377,dimensionless,PDF page 23 / API page 17,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;uniform_sample
Figure 8,KHr,Er_ksi=10,0.01058,tw/D,318.155391,dimensionless,PDF page 23 / API page 17,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 8,KHr,Er_ksi=10,0.012619,tw/D,333.900217,dimensionless,PDF page 23 / API page 17,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 8,KHr,Er_ksi=10,0.01296,tw/D,335.210127,dimensionless,PDF page 23 / API page 17,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 8,KHr,Er_ksi=10,0.01444,tw/D,338.118192,dimensionless,PDF page 23 / API page 17,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 8,KHr,Er_ksi=10,0.014942,tw/D,338.282945,dimensionless,PDF page 23 / API page 17,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 8,KHr,Er_ksi=10,0.017266,tw/D,335.181616,dimensionless,PDF page 23 / API page 17,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 8,KHr,Er_ksi=10,0.01867,tw/D,330.918906,dimensionless,PDF page 23 / API page 17,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 8,KHr,Er_ksi=10,0.019589,tw/D,327.365192,dimensionless,PDF page 23 / API page 17,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 8,KHr,Er_ksi=10,0.02,tw/D,325.604485,dimensionless,PDF page 23 / API page 17,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=annex_control_x
Figure 8,KHr,Er_ksi=10,0.021913,tw/D,315.286097,dimensionless,PDF page 23 / API page 17,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 8,KHr,Er_ksi=10,0.024236,tw/D,299.99673,dimensionless,PDF page 23 / API page 17,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 8,KHr,Er_ksi=10,0.02526,tw/D,292.676078,dimensionless,PDF page 23 / API page 17,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 8,KHr,Er_ksi=10,0.02656,tw/D,283.580359,dimensionless,PDF page 23 / API page 17,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 8,KHr,Er_ksi=10,0.028883,tw/D,265.691643,dimensionless,PDF page 23 / API page 17,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 8,KHr,Er_ksi=10,0.031207,tw/D,245.188487,dimensionless,PDF page 23 / API page 17,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 8,KHr,Er_ksi=10,0.031527,tw/D,241.954304,dimensionless,PDF page 23 / API page 17,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control
Figure 8,KHr,Er_ksi=10,0.03353,tw/D,222.311513,dimensionless,PDF page 23 / API page 17,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 8,KHr,Er_ksi=10,0.03515,tw/D,208.929562,dimensionless,PDF page 23 / API page 17,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 8,KHr,Er_ksi=10,0.035853,tw/D,203.855668,dimensionless,PDF page 23 / API page 17,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 8,KHr,Er_ksi=10,0.038177,tw/D,188.406299,dimensionless,PDF page 23 / API page 17,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 8,KHr,Er_ksi=10,0.0405,tw/D,174.477348,dimensionless,PDF page 23 / API page 17,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 8,KHr,Er_ksi=10,0.04258,tw/D,162.414977,dimensionless,PDF page 23 / API page 17,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 8,KHr,Er_ksi=10,0.042824,tw/D,161.070953,dimensionless,PDF page 23 / API page 17,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 8,KHr,Er_ksi=10,0.045147,tw/D,148.849679,dimensionless,PDF page 23 / API page 17,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 8,KHr,Er_ksi=10,0.047471,tw/D,139.05479,dimensionless,PDF page 23 / API page 17,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 8,KHr,Er_ksi=10,0.049794,tw/D,129.782772,dimensionless,PDF page 23 / API page 17,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 8,KHr,Er_ksi=10,0.05015,tw/D,128.412578,dimensionless,PDF page 23 / API page 17,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 8,KHr,Er_ksi=10,0.052118,tw/D,121.060824,dimensionless,PDF page 23 / API page 17,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 8,KHr,Er_ksi=10,0.054441,tw/D,112.818934,dimensionless,PDF page 23 / API page 17,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 8,KHr,Er_ksi=10,0.056765,tw/D,105.002795,dimensionless,PDF page 23 / API page 17,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 8,KHr,Er_ksi=10,0.059088,tw/D,97.570829,dimensionless,PDF page 23 / API page 17,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 8,KHr,Er_ksi=10,0.061412,tw/D,89.47989,dimensionless,PDF page 23 / API page 17,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 8,KHr,Er_ksi=10,0.063735,tw/D,81.608671,dimensionless,PDF page 23 / API page 17,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 8,KHr,Er_ksi=10,0.06518,tw/D,76.916237,dimensionless,PDF page 23 / API page 17,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
