figure,factor,curve_name,x_value,x_units,y_value,y_units,source_page,digitization_method,notes
Figure 9,GHr,H_ft=10,2.188008,in,0.676368,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;uniform_sample
Figure 9,GHr,H_ft=10,3.515075,in,0.710808,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=10,4.0,in,0.717101,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 9,GHr,H_ft=10,4.842141,in,0.723505,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=10,6.0,in,0.726261,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 9,GHr,H_ft=10,6.169207,in,0.726204,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=10,7.496274,in,0.722225,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=10,8.0,in,0.719288,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 9,GHr,H_ft=10,8.82334,in,0.712976,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=10,9.810453,in,0.702782,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control
Figure 9,GHr,H_ft=10,10.0,in,0.700518,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 9,GHr,H_ft=10,10.150407,in,0.698779,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=10,11.477473,in,0.683986,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=10,12.0,in,0.67834,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 9,GHr,H_ft=10,12.804539,in,0.669532,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=10,14.131606,in,0.6555,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=10,15.458672,in,0.642029,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=10,16.785739,in,0.629598,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=10,18.0,in,0.618924,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 9,GHr,H_ft=10,18.112805,in,0.617946,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=10,19.439871,in,0.605746,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=10,20.766938,in,0.594012,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=10,22.094004,in,0.582642,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=10,23.42107,in,0.571602,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=10,24.0,in,0.566887,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 9,GHr,H_ft=10,24.748137,in,0.561099,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=10,26.075203,in,0.551048,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=10,27.40227,in,0.540875,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=10,28.729336,in,0.531055,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
