figure,factor,curve_name,x_value,x_units,y_value,y_units,source_page,digitization_method,notes
Figure 10,NH,H_ft=10,2.064936,in,1.210481,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;uniform_sample
Figure 10,NH,H_ft=10,3.393634,in,1.217057,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 10,NH,H_ft=10,4.722332,in,1.22369,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 10,NH,H_ft=10,6.05103,in,1.230359,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 10,NH,H_ft=10,7.379728,in,1.236634,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 10,NH,H_ft=10,8.708425,in,1.243021,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 10,NH,H_ft=10,10.037123,in,1.249495,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 10,NH,H_ft=10,11.365821,in,1.255982,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 10,NH,H_ft=10,12.694519,in,1.262506,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 10,NH,H_ft=10,14.023217,in,1.269068,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 10,NH,H_ft=10,15.351914,in,1.275749,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 10,NH,H_ft=10,16.680612,in,1.28227,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 10,NH,H_ft=10,18.00931,in,1.288637,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 10,NH,H_ft=10,19.338008,in,1.295211,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 10,NH,H_ft=10,20.666705,in,1.301716,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 10,NH,H_ft=10,21.995403,in,1.308345,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 10,NH,H_ft=10,23.324101,in,1.314766,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 10,NH,H_ft=10,24.652799,in,1.321145,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 10,NH,H_ft=10,25.981497,in,1.327481,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 10,NH,H_ft=10,27.310194,in,1.33411,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 10,NH,H_ft=10,28.638892,in,1.340628,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 10,NH,H_ft=10,29.96759,in,1.347022,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 10,NH,H_ft=10,31.296288,in,1.353872,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 10,NH,H_ft=10,32.624985,in,1.360681,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 10,NH,H_ft=10,33.953683,in,1.36743,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 10,NH,H_ft=10,35.282381,in,1.373879,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 10,NH,H_ft=10,36.611079,in,1.380565,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 10,NH,H_ft=10,37.939777,in,1.387548,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 10,NH,H_ft=10,39.268474,in,1.394177,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 10,NH,H_ft=10,40.221219,in,1.39917,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control
Figure 10,NH,H_ft=10,40.597172,in,1.40134,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
