figure,factor,curve_name,x_value,x_units,y_value,y_units,source_page,digitization_method,notes
Figure 11,KLr,Er_ksi=10,0.01005,tw/D,384.80978,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;uniform_sample
Figure 11,KLr,Er_ksi=10,0.0103,tw/D,381.395853,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 11,KLr,Er_ksi=10,0.012382,tw/D,360.112414,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=10,0.014714,tw/D,342.972257,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=10,0.015,tw/D,341.117247,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 11,KLr,Er_ksi=10,0.017045,tw/D,329.009448,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=10,0.019377,tw/D,317.045645,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=10,0.02,tw/D,314.10277,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x;annex_control_x
Figure 11,KLr,Er_ksi=10,0.021709,tw/D,306.292408,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=10,0.02404,tw/D,296.60606,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=10,0.026372,tw/D,288.008221,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=10,0.028704,tw/D,280.404382,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=10,0.029072,tw/D,279.308725,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control
Figure 11,KLr,Er_ksi=10,0.03,tw/D,276.452651,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 11,KLr,Er_ksi=10,0.031035,tw/D,273.286106,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=10,0.033367,tw/D,266.371842,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=10,0.035699,tw/D,259.770774,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=10,0.03803,tw/D,253.491065,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 11,KLr,Er_ksi=10,0.040362,tw/D,247.415963,dimensionless,PDF page 25 / API page 19,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
