figure,factor,curve_name,x_value,x_units,y_value,y_units,source_page,digitization_method,notes
Figure 14,KHh,Er_ksi=10,0.01021,tw/D,12.625261,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;uniform_sample
Figure 14,KHh,Er_ksi=10,0.01061,tw/D,13.009063,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 14,KHh,Er_ksi=10,0.01211,tw/D,14.00257,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 14,KHh,Er_ksi=10,0.012535,tw/D,14.186845,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 14,KHh,Er_ksi=10,0.01394,tw/D,14.588438,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 14,KHh,Er_ksi=10,0.01486,tw/D,14.716154,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 14,KHh,Er_ksi=10,0.01541,tw/D,14.752615,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 14,KHh,Er_ksi=10,0.017184,tw/D,14.679933,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 14,KHh,Er_ksi=10,0.01729,tw/D,14.66749,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 14,KHh,Er_ksi=10,0.019509,tw/D,14.228524,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 14,KHh,Er_ksi=10,0.02,tw/D,14.089377,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=annex_control_x
Figure 14,KHh,Er_ksi=10,0.02018,tw/D,14.034725,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 14,KHh,Er_ksi=10,0.021834,tw/D,13.48637,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 14,KHh,Er_ksi=10,0.022497,tw/D,13.216122,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control
Figure 14,KHh,Er_ksi=10,0.024159,tw/D,12.53179,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 14,KHh,Er_ksi=10,0.02425,tw/D,12.495093,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 14,KHh,Er_ksi=10,0.026483,tw/D,11.688527,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 14,KHh,Er_ksi=10,0.028808,tw/D,10.904696,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 14,KHh,Er_ksi=10,0.02991,tw/D,10.553495,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 14,KHh,Er_ksi=10,0.031133,tw/D,10.186165,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 14,KHh,Er_ksi=10,0.033457,tw/D,9.487663,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 14,KHh,Er_ksi=10,0.035782,tw/D,8.811877,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 14,KHh,Er_ksi=10,0.03582,tw/D,8.800937,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 14,KHh,Er_ksi=10,0.038107,tw/D,8.162615,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 14,KHh,Er_ksi=10,0.04007,tw/D,7.64597,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 14,KHh,Er_ksi=10,0.040432,tw/D,7.557123,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 14,KHh,Er_ksi=10,0.042756,tw/D,7.028439,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 14,KHh,Er_ksi=10,0.04484,tw/D,6.582001,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 14,KHh,Er_ksi=10,0.045081,tw/D,6.531743,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 14,KHh,Er_ksi=10,0.047406,tw/D,6.032305,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 14,KHh,Er_ksi=10,0.049731,tw/D,5.563654,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 14,KHh,Er_ksi=10,0.05012,tw/D,5.487985,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 14,KHh,Er_ksi=10,0.052055,tw/D,5.146219,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 14,KHh,Er_ksi=10,0.05438,tw/D,4.743921,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 14,KHh,Er_ksi=10,0.05496,tw/D,4.645432,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 14,KHh,Er_ksi=10,0.056705,tw/D,4.347026,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 14,KHh,Er_ksi=10,0.059029,tw/D,3.969673,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 14,KHh,Er_ksi=10,0.05999,tw/D,3.820476,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 14,KHh,Er_ksi=10,0.061354,tw/D,3.622655,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 14,KHh,Er_ksi=10,0.063679,tw/D,3.30163,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 14,KHh,Er_ksi=10,0.06488,tw/D,3.143621,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 14,KHh,Er_ksi=10,0.066004,tw/D,2.995578,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 14,KHh,Er_ksi=10,0.068328,tw/D,2.703543,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 14,KHh,Er_ksi=10,0.07005,tw/D,2.500741,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 14,KHh,Er_ksi=10,0.070653,tw/D,2.43506,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 14,KHh,Er_ksi=10,0.072978,tw/D,2.202045,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 14,KHh,Er_ksi=10,0.07493,tw/D,2.020049,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 14,KHh,Er_ksi=10,0.075303,tw/D,1.985801,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 14,KHh,Er_ksi=10,0.077627,tw/D,1.77711,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 14,KHh,Er_ksi=10,0.079952,tw/D,1.60197,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;uniform_sample
Figure 14,KHh,Er_ksi=20,0.01021,tw/D,6.844802,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;uniform_sample
Figure 14,KHh,Er_ksi=20,0.01061,tw/D,7.181056,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 14,KHh,Er_ksi=20,0.01211,tw/D,8.119176,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 14,KHh,Er_ksi=20,0.012537,tw/D,8.315692,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 14,KHh,Er_ksi=20,0.01394,tw/D,8.815981,dimensionless,PDF page 27 / API page 21,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
