figure,factor,curve_name,x_value,x_units,y_value,y_units,source_page,digitization_method,notes
Figure 15,GHh,H_ft=10,2.10918,in,0.677591,dimensionless,PDF page 28 / API page 22,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;uniform_sample
Figure 15,GHh,H_ft=10,2.124,in,0.678134,dimensionless,PDF page 28 / API page 22,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 15,GHh,H_ft=10,2.35,in,0.685798,dimensionless,PDF page 28 / API page 22,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 15,GHh,H_ft=10,3.172,in,0.708519,dimensionless,PDF page 28 / API page 22,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 15,GHh,H_ft=10,3.438874,in,0.714371,dimensionless,PDF page 28 / API page 22,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 15,GHh,H_ft=10,3.952,in,0.723409,dimensionless,PDF page 28 / API page 22,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 15,GHh,H_ft=10,4.768568,in,0.730867,dimensionless,PDF page 28 / API page 22,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 15,GHh,H_ft=10,4.935,in,0.731013,dimensionless,PDF page 28 / API page 22,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 15,GHh,H_ft=10,5.333064,in,0.728985,dimensionless,PDF page 28 / API page 22,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control
Figure 15,GHh,H_ft=10,6.0,in,0.725416,dimensionless,PDF page 28 / API page 22,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 15,GHh,H_ft=10,6.098262,in,0.724829,dimensionless,PDF page 28 / API page 22,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 15,GHh,H_ft=10,7.427956,in,0.715792,dimensionless,PDF page 28 / API page 22,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 15,GHh,H_ft=10,8.0,in,0.711339,dimensionless,PDF page 28 / API page 22,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 15,GHh,H_ft=10,8.75765,in,0.705184,dimensionless,PDF page 28 / API page 22,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 15,GHh,H_ft=10,10.0,in,0.693973,dimensionless,PDF page 28 / API page 22,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 15,GHh,H_ft=10,10.087344,in,0.693133,dimensionless,PDF page 28 / API page 22,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 15,GHh,H_ft=10,11.417038,in,0.678883,dimensionless,PDF page 28 / API page 22,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 15,GHh,H_ft=10,11.929307,in,0.672918,dimensionless,PDF page 28 / API page 22,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control
