figure,factor,curve_name,x_value,x_units,y_value,y_units,source_page,digitization_method,notes
Figure 16,KLh,Er_ksi=10,0.010163,tw/D,9.821414,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;uniform_sample
Figure 16,KLh,Er_ksi=10,0.0105,tw/D,9.866412,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 16,KLh,Er_ksi=10,0.012491,tw/D,10.02641,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 16,KLh,Er_ksi=10,0.014819,tw/D,10.05652,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 16,KLh,Er_ksi=10,0.015,tw/D,10.053912,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 16,KLh,Er_ksi=10,0.017146,tw/D,9.975386,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 16,KLh,Er_ksi=10,0.019474,tw/D,9.803662,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 16,KLh,Er_ksi=10,0.02,tw/D,9.749911,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x;annex_control_x
Figure 16,KLh,Er_ksi=10,0.021802,tw/D,9.571938,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 16,KLh,Er_ksi=10,0.02413,tw/D,9.301332,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 16,KLh,Er_ksi=10,0.025,tw/D,9.189622,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 16,KLh,Er_ksi=10,0.026458,tw/D,8.984756,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 16,KLh,Er_ksi=10,0.028786,tw/D,8.624785,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 16,KLh,Er_ksi=10,0.03,tw/D,8.418391,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 16,KLh,Er_ksi=10,0.030044,tw/D,8.410475,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control
Figure 16,KLh,Er_ksi=10,0.031114,tw/D,8.199192,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 16,KLh,Er_ksi=10,0.033442,tw/D,7.780305,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 16,KLh,Er_ksi=10,0.03577,tw/D,7.404587,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 16,KLh,Er_ksi=10,0.038098,tw/D,7.080372,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 16,KLh,Er_ksi=10,0.04,tw/D,6.837899,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 16,KLh,Er_ksi=10,0.040426,tw/D,6.788477,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 16,KLh,Er_ksi=10,0.042753,tw/D,6.533971,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 16,KLh,Er_ksi=10,0.045081,tw/D,6.303484,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 16,KLh,Er_ksi=10,0.047409,tw/D,6.08142,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 16,KLh,Er_ksi=10,0.049737,tw/D,5.881699,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 16,KLh,Er_ksi=10,0.05,tw/D,5.860413,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 16,KLh,Er_ksi=10,0.052065,tw/D,5.711044,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 16,KLh,Er_ksi=10,0.054393,tw/D,5.557795,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 16,KLh,Er_ksi=10,0.056721,tw/D,5.415458,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 16,KLh,Er_ksi=10,0.059049,tw/D,5.286502,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 16,KLh,Er_ksi=10,0.06,tw/D,5.237903,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 16,KLh,Er_ksi=10,0.061377,tw/D,5.173939,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 16,KLh,Er_ksi=10,0.063705,tw/D,5.07551,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 16,KLh,Er_ksi=10,0.066033,tw/D,4.987384,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 16,KLh,Er_ksi=10,0.06836,tw/D,4.909366,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 16,KLh,Er_ksi=10,0.07,tw/D,4.861585,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
