figure,factor,curve_name,x_value,x_units,y_value,y_units,source_page,digitization_method,notes
Figure 17,GLh,H_ft=10,2.321502,in,2.572538,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;uniform_sample
Figure 17,GLh,H_ft=10,2.460681,in,2.445734,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control
Figure 17,GLh,H_ft=10,2.753,in,2.075425,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 17,GLh,H_ft=10,3.408,in,1.788156,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 17,GLh,H_ft=10,3.644119,in,1.716752,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 17,GLh,H_ft=10,4.0,in,1.624652,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 17,GLh,H_ft=10,4.932,in,1.431857,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 17,GLh,H_ft=10,4.966736,in,1.425772,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 17,GLh,H_ft=10,6.0,in,1.269881,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 17,GLh,H_ft=10,6.289352,in,1.233062,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 17,GLh,H_ft=10,7.611969,in,1.091721,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 17,GLh,H_ft=10,8.0,in,1.057069,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 17,GLh,H_ft=10,8.934585,in,0.986022,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 17,GLh,H_ft=10,10.0,in,0.918893,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 17,GLh,H_ft=10,10.257202,in,0.904142,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 17,GLh,H_ft=10,11.579819,in,0.840116,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 17,GLh,H_ft=10,12.0,in,0.823827,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 17,GLh,H_ft=10,12.802635,in,0.797608,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control
Figure 17,GLh,H_ft=10,12.902435,in,0.792921,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 17,GLh,H_ft=10,14.0,in,0.768601,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 17,GLh,H_ft=10,14.225052,in,0.765033,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 17,GLh,H_ft=10,15.547668,in,0.746523,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 17,GLh,H_ft=10,16.0,in,0.740637,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 17,GLh,H_ft=10,16.870285,in,0.729348,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 17,GLh,H_ft=10,18.192901,in,0.713009,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 17,GLh,H_ft=10,19.515518,in,0.69735,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 17,GLh,H_ft=10,20.838135,in,0.682524,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 17,GLh,H_ft=10,22.160751,in,0.668224,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 17,GLh,H_ft=10,23.483368,in,0.653713,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 17,GLh,H_ft=10,24.805984,in,0.63903,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 17,GLh,H_ft=10,26.128601,in,0.624423,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 17,GLh,H_ft=10,27.451218,in,0.611074,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 17,GLh,H_ft=10,28.0,in,0.605588,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 17,GLh,H_ft=10,28.773834,in,0.597616,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 17,GLh,H_ft=10,30.096451,in,0.584091,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 17,GLh,H_ft=10,31.419067,in,0.570227,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 17,GLh,H_ft=10,32.741684,in,0.557028,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 17,GLh,H_ft=10,34.0643,in,0.544342,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 17,GLh,H_ft=10,35.386917,in,0.531267,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 17,GLh,H_ft=10,36.709534,in,0.517959,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 17,GLh,H_ft=10,38.03215,in,0.504446,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 17,GLh,H_ft=10,39.354767,in,0.492175,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 17,GLh,H_ft=10,40.677383,in,0.47859,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 17,GLh,H_ft=10,42.0,in,0.464465,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;spreadsheet_x;uniform_sample
Figure 17,GLh,H_ft=3_to_4,2.321502,in,2.582066,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;uniform_sample
Figure 17,GLh,H_ft=3_to_4,2.753,in,2.243292,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 17,GLh,H_ft=3_to_4,3.408,in,2.032642,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 17,GLh,H_ft=3_to_4,3.644119,in,1.974298,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 17,GLh,H_ft=3_to_4,4.0,in,1.895978,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 17,GLh,H_ft=3_to_4,4.932,in,1.72087,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 17,GLh,H_ft=3_to_4,4.966736,in,1.715111,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 17,GLh,H_ft=3_to_4,6.0,in,1.561587,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 17,GLh,H_ft=3_to_4,6.289352,in,1.52382,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 17,GLh,H_ft=3_to_4,7.417193,in,1.39572,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control
Figure 17,GLh,H_ft=3_to_4,7.611969,in,1.37671,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 17,GLh,H_ft=3_to_4,8.0,in,1.344142,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 17,GLh,H_ft=3_to_4,8.934585,in,1.28552,dimensionless,PDF page 29 / API page 23,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
