figure,factor,curve_name,x_value,x_units,y_value,y_units,source_page,digitization_method,notes
Figure 18-A,RF,H_ft=10,2.119082,in,0.662498,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;uniform_sample | For 5 ft <= LG < 10 ft.
Figure 18-A,RF,H_ft=10,4.611639,in,0.662498,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For 5 ft <= LG < 10 ft.
Figure 18-A,RF,H_ft=10,7.104197,in,0.662498,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For 5 ft <= LG < 10 ft.
Figure 18-A,RF,H_ft=10,9.596754,in,0.662498,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For 5 ft <= LG < 10 ft.
Figure 18-A,RF,H_ft=10,12.069843,in,0.662498,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control | For 5 ft <= LG < 10 ft.
Figure 18-A,RF,H_ft=10,12.089311,in,0.662617,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For 5 ft <= LG < 10 ft.
Figure 18-A,RF,H_ft=10,14.581869,in,0.677847,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For 5 ft <= LG < 10 ft.
Figure 18-A,RF,H_ft=10,17.074426,in,0.693684,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For 5 ft <= LG < 10 ft.
Figure 18-A,RF,H_ft=10,19.566983,in,0.709508,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For 5 ft <= LG < 10 ft.
Figure 18-A,RF,H_ft=10,22.059541,in,0.724773,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For 5 ft <= LG < 10 ft.
Figure 18-A,RF,H_ft=10,24.552098,in,0.740633,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For 5 ft <= LG < 10 ft.
Figure 18-A,RF,H_ft=10,27.044656,in,0.755748,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For 5 ft <= LG < 10 ft.
Figure 18-A,RF,H_ft=10,29.537213,in,0.77154,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For 5 ft <= LG < 10 ft.
Figure 18-A,RF,H_ft=10,32.02977,in,0.787204,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For 5 ft <= LG < 10 ft.
Figure 18-A,RF,H_ft=10,34.522328,in,0.802771,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For 5 ft <= LG < 10 ft.
Figure 18-A,RF,H_ft=10,37.014885,in,0.819319,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For 5 ft <= LG < 10 ft.
Figure 18-A,RF,H_ft=10,39.507443,in,0.835829,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For 5 ft <= LG < 10 ft.
Figure 18-A,RF,H_ft=10,42.0,in,0.853033,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;uniform_sample | For 5 ft <= LG < 10 ft.
Figure 18-A,RF,H_ft=14,2.106446,in,0.801809,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;uniform_sample | For 5 ft <= LG < 10 ft.
