figure,factor,curve_name,x_value,x_units,y_value,y_units,source_page,digitization_method,notes
Figure 18-B,RF,H_ft=10,2.054405,in,0.398835,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;uniform_sample | For LG >= 10 ft.
Figure 18-B,RF,H_ft=10,4.547792,in,0.398835,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For LG >= 10 ft.
Figure 18-B,RF,H_ft=10,7.041178,in,0.398835,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For LG >= 10 ft.
Figure 18-B,RF,H_ft=10,9.534564,in,0.398835,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For LG >= 10 ft.
Figure 18-B,RF,H_ft=10,12.027951,in,0.398835,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For LG >= 10 ft.
Figure 18-B,RF,H_ft=10,14.521337,in,0.398835,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For LG >= 10 ft.
Figure 18-B,RF,H_ft=10,17.014724,in,0.398835,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For LG >= 10 ft.
Figure 18-B,RF,H_ft=10,19.50811,in,0.398835,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For LG >= 10 ft.
Figure 18-B,RF,H_ft=10,22.001496,in,0.398835,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For LG >= 10 ft.
Figure 18-B,RF,H_ft=10,24.494883,in,0.398835,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For LG >= 10 ft.
Figure 18-B,RF,H_ft=10,26.988269,in,0.398835,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For LG >= 10 ft.
Figure 18-B,RF,H_ft=10,29.481655,in,0.398835,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For LG >= 10 ft.
Figure 18-B,RF,H_ft=10,31.975042,in,0.398835,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For LG >= 10 ft.
Figure 18-B,RF,H_ft=10,34.362004,in,0.398835,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control | For LG >= 10 ft.
Figure 18-B,RF,H_ft=10,34.468428,in,0.399828,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For LG >= 10 ft.
Figure 18-B,RF,H_ft=10,36.961814,in,0.42295,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For LG >= 10 ft.
Figure 18-B,RF,H_ft=10,39.455201,in,0.445829,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For LG >= 10 ft.
Figure 18-B,RF,H_ft=10,41.948587,in,0.469022,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;uniform_sample | For LG >= 10 ft.
Figure 18-B,RF,H_ft=14,2.028861,in,0.492416,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;uniform_sample | For LG >= 10 ft.
Figure 18-B,RF,H_ft=14,4.527057,in,0.492416,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For LG >= 10 ft.
Figure 18-B,RF,H_ft=14,7.025253,in,0.492416,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For LG >= 10 ft.
Figure 18-B,RF,H_ft=14,9.52345,in,0.492416,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For LG >= 10 ft.
Figure 18-B,RF,H_ft=14,12.021646,in,0.492416,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For LG >= 10 ft.
Figure 18-B,RF,H_ft=14,14.519842,in,0.492416,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For LG >= 10 ft.
Figure 18-B,RF,H_ft=14,17.018038,in,0.492416,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For LG >= 10 ft.
Figure 18-B,RF,H_ft=14,19.516234,in,0.492416,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For LG >= 10 ft.
Figure 18-B,RF,H_ft=14,22.01443,in,0.492416,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For LG >= 10 ft.
Figure 18-B,RF,H_ft=14,24.512627,in,0.492416,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For LG >= 10 ft.
Figure 18-B,RF,H_ft=14,27.010823,in,0.492416,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For LG >= 10 ft.
Figure 18-B,RF,H_ft=14,29.509019,in,0.492416,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For LG >= 10 ft.
Figure 18-B,RF,H_ft=14,30.232964,in,0.492416,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control | For LG >= 10 ft.
Figure 18-B,RF,H_ft=14,32.007215,in,0.504666,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For LG >= 10 ft.
Figure 18-B,RF,H_ft=14,34.505411,in,0.521887,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For LG >= 10 ft.
Figure 18-B,RF,H_ft=14,37.003608,in,0.539937,dimensionless,PDF page 34 / API page 28,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample | For LG >= 10 ft.
