"workbook","workbook_path","backup_path","sheet","cell","figure","factor","curve_name","x_value","old_value","new_digitized_value","action"
"Highway","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.xlsx","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.bak_20260606_231852.xlsx","Tables","B17","Figure 3","KHe","E_prime_ksi=0.2","0.0","11632","","skipped_no_digitized_value"
"Highway","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.xlsx","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.bak_20260606_231852.xlsx","Tables","B18","Figure 3","KHe","E_prime_ksi=0.2","0.00726","11632","","skipped_no_digitized_value"
"Highway","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.xlsx","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.bak_20260606_231852.xlsx","Tables","B19","Figure 3","KHe","E_prime_ksi=0.2","0.00811","11632","10587.668178","updated"
"Highway","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.xlsx","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.bak_20260606_231852.xlsx","Tables","B20","Figure 3","KHe","E_prime_ksi=0.2","0.00825","11338","10387.695985","updated"
"Highway","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.xlsx","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.bak_20260606_231852.xlsx","Tables","B21","Figure 3","KHe","E_prime_ksi=0.2","0.01","8552","8263.509735","updated"
"Highway","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.xlsx","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.bak_20260606_231852.xlsx","Tables","B22","Figure 3","KHe","E_prime_ksi=0.2","0.0125","6564","6253.259838","updated"
"Highway","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.xlsx","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.bak_20260606_231852.xlsx","Tables","B23","Figure 3","KHe","E_prime_ksi=0.2","0.015","4873","4817.399319","updated"
"Highway","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.xlsx","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.bak_20260606_231852.xlsx","Tables","B24","Figure 3","KHe","E_prime_ksi=0.2","0.0175","3900","3778.69799","updated"
"Highway","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.xlsx","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.bak_20260606_231852.xlsx","Tables","B25","Figure 3","KHe","E_prime_ksi=0.2","0.02","3000","2993.515046","updated"
"Highway","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.xlsx","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.bak_20260606_231852.xlsx","Tables","B26","Figure 3","KHe","E_prime_ksi=0.2","0.025","1781","1793.592711","updated"
